Date,Old Testament,New Testament,Psalm,Proverbs
1-Jan-2017,Genesis 1:1-2:3,Matthew 1:1-17,Psalm 1:1-5,Proverbs 1:1-6
2-Jan-2017,Genesis 2:4-25,Matthew 1:18-25,Psalm 1:6,Proverbs 1:7-9
3-Jan-2017,Genesis 3:1-24,Matthew 2:1-12,Psalm 2:1-6,Proverbs 1:10-19
4-Jan-2017,Genesis 4:1-26,Matthew 2:13-23,Psalm 2:7-12,Proverbs 1:20-23
5-Jan-2017,Genesis 5:1-32,Matthew 3:1-6,Psalm 3:1-5,Proverbs 1:24-28
6-Jan-2017,Genesis 6:1-22,Matthew 3:7-17,Psalm 3:6-8,Proverbs 1:29-33
7-Jan-2017,Genesis 7:1-24,Matthew 4:1-11,Psalm 4:1-3,Proverbs 2:1-5
8-Jan-2017,Genesis 8:1-9:19,Matthew 4:12-22,Psalm 4:4-8,Proverbs 2:6-15
9-Jan-2017,Genesis 9:20-10:32,Matthew 4:23-25,Psalm 5:1-6,Proverbs 2:16-22
10-Jan-2017,Genesis 11:1-26,Matthew 5:1-12,Psalm 5:7-12,Proverbs 3:1-6
11-Jan-2017,Genesis 11:27-13:4,Matthew 5:13-26,Psalm 6:1-5,Proverbs 3:7-8
12-Jan-2017,Genesis 13:5-14:16,Matthew 5:27-37,Psalm 6:6-10,Proverbs 3:9-10
13-Jan-2017,Genesis 14:17-15:21,Matthew 5:38-48,Psalm 7:1-9,Proverbs 3:11-12
14-Jan-2017,Genesis 16:1-17:14,Matthew 6:1-13,Psalm 7:10-17,Proverbs 3:13-15
15-Jan-2017,Genesis 17:15-18:15,Matthew 6:14-24,Psalm 8:1,Proverbs 3:16-18
16-Jan-2017,Genesis 18:16-19:26,Matthew 6:25-7:6,Psalm 8:2-9,Proverbs 3:19-20
17-Jan-2017,Genesis 19:27-38,Matthew 7:7-14,Psalm 9:1-8,Proverbs 3:21-26
18-Jan-2017,Genesis 20:1-21:21,Matthew 7:15-23,Psalm 9:9-12,Proverbs 3:27-32
19-Jan-2017,Genesis 21:22-22:24,Matthew 7:24-29,Psalm 9:13-18,Proverbs 3:33-35
20-Jan-2017,Genesis 23:1-20,Matthew 8:1-4,Psalm 9:19-20,Proverbs 4:1-6
21-Jan-2017,Genesis 24:1-51,Matthew 8:5-17,Psalm 10:1-6,Proverbs 4:7-10
22-Jan-2017,Genesis 24:52-25:28,Matthew 8:18-27,Psalm 10:7-15,Proverbs 4:11-13
23-Jan-2017,Genesis 25:29-26:16,Matthew 8:28-34,Psalm 10:16,Proverbs 4:14-19
24-Jan-2017,Genesis 26:17-35,Matthew 9:1-8,Psalm 10:17-18,Proverbs 4:20-27
25-Jan-2017,Genesis 27:1-45,Matthew 9:9-17,Psalm 11:1-6,Proverbs 5:1-6
26-Jan-2017,Genesis 27:46-28:22,Matthew 9:18-26,Psalm 11:7,Proverbs 5:7-14
27-Jan-2017,Genesis 29:1-35,Matthew 9:27-38,Psalm 12:1-5,Proverbs 5:15-21
28-Jan-2017,Genesis 30:1-24,Matthew 10:1-4,Psalm 12:6-8,Proverbs 5:22-23
29-Jan-2017,Genesis 30:25-31:16,Matthew 10:5-23,Psalm 13:1-4,Proverbs 6:1-5
30-Jan-2017,Genesis 31:17-55,Matthew 10:24-39,Psalm 13:5-6,Proverbs 6:6-11
31-Jan-2017,Genesis 32:1-12,Matthew 10:40-11:6,Psalm 14:1-6,Proverbs 6:12-15
1-Feb-2017,Genesis 32:13-33:20,Matthew 11:7-19,Psalm 14:7,Proverbs 6:16-19
2-Feb-2017,Genesis 34:1-31,Matthew 11:20-30,Psalm 15:1-5,Proverbs 6:20-26
